questionType,logs
Comment contacter le service client ?,merci me le laisser parler à un vrai humain
Comment proposer un sujet ?,"Bonjour, serait-il possible de faire ou refaire une émission sur les conséquences du post Brexit ?"
Comment contacter le service client ?,adresse email de France 5
Comment proposer un sujet ?,"Bonjour, un complément pour Laurence Boccolini : ne plus dire distanciation sociale"" mais plutot ""distanciation physique...merci !"""
Mon compte france.tv,faire en sorte que je puisse me connecter
Replay,"Bonjour, je voudrais revoir en replay l'émission Secret d'Histoire sur Thérèse de Lisieux, diffusé le 4 mai. Mais la vidéo n'est pas disponible. Pourquoi ? Merci d'avance pour votre aide."
Replay,la vidéo ne joue pas
Replay,bonjour es que vous pouvez me dire pourquoi je ne peut pas voir l emision investigetion du france 0 du 17 juin 2020 en riplay je peut pas le telecharger
Replay,sur la chaine lumni la video ne marche pas
Mon compte france.tv,"Bonjour, j'arrive pas à me connecter sur France Tv"
Replay,Vous refusez ma date de naissance dite invalide!
Replay,"VOUS ÊTES TETU OU VOUD NR COMPRENEZ RIEN ????? ENCORE UNE FOIS, CE N' EST PAS POUR UNE LECTURE DE VIDEO QUE JE VOUS CONTACTE !!!! C' EST QUE JE NE RECOIS PLUS LES NEWS VENANT DE pblv@nl.francetv.fr"" depyuis le 4 mai. POURQUOI  ?????? """
Quel est le programme TV ?,Quand france 2 reprogramme-t-elle mot de passe?
Mon compte france.tv,"Voilà 2 fois ce matin et 3 hier que j'essaie de me connecter.... mystère et boule de gomme , mais c'est sans doute une blague"
Mon compte france.tv,Bonjour quand je remplir mon inscription il mon e-mail adresse c'est pas bon
Replay,"bonjour , les replay ( séries et fictions , n'attendez pas ce soir ) ne se chargent plus depuis plusieurs jours , alors que je capte bien"
Comment proposer un sujet ?,"bonjour, j'aimerais proposer un sujet à la rédaction ! A quelle mail puis-je envoyer ma proposition ?"
S'abonner ou se désabonner à nos newsletters,je ne veux me desabonner
Replay,Je ne joue pas sur le navigateur SAFARI mais FIREFOX OK
J'habite à l'étranger,"Bonjour, je ne peux pas voir les videos j'ai le message pour des questions de droits cette video ne peut être lue"
Mon compte france.tv,s'incrire
Replay,"j'ai raté la saison de cassandre, quand sera-t-elle à nouveau disponible?"
S'abonner ou se désabonner à nos newsletters,Je souhaite me désabonner
Les directs,je ne peux pas regarder le direct codr erreur 4103.
Comment contacter un animateur ?,contacter hugo clément
Mon compte france.tv,ben... comment se connecter quand le mot de passe n'est plus reconnu et que le système pour le récupérer dysfonctionne ?
Comment contacter un animateur ?,Comment envoyer un message à F. Bollaert
Replay,je n'arrive pas à lire des vidéos
Mon compte france.tv,Bonjour je n'arrive plus à me connecter à mon compte
Mon compte france.tv,Pourquoi ne puis-je plus voir le direct depuis ma tablette ?
S'abonner ou se désabonner à nos newsletters,"Bonjour, je veux désabonnée sur cette page ?"
J'aimerai poser une question autour du coronavirus,"Après le discours de macron les commerces ouvrent , peut on y aller même à plus de 1 le?"
Mon compte france.tv,"ok, mais comment me desinscrire à votre site puisque je n'en ai pas l'utilité ?"
J'aimerai poser une question autour du coronavirus,mon fils a sifné son CDI le 10.02.2020 avec une periode d'essai de 3 mois mais pendant cette peiode mon fils a contracté le covid 19 et n'a pas pu travaillé pendant 4 semaines est-ce que sa maladie est incluse dans sa periode d'essai - merc
J'aimerai poser une question autour du coronavirus,"Bonjour pourquoi aucune de vos émissions concernant le COVID19 (le car je refuse de le mettre au féminin), ne parle-t-elle jamais de la confiscation par l'état du pouvoir de prescrire en médecine précoce ambulatoire dans la phase virale, au"
Comment contacter le service client ?,comment contacter
Comment contacter le service client ?,"Et à part un robot, est ce que je peux espérer une vraie réponse et le droit de m'inscrire ? Mon adrsse mail est maintenantcestici@yahoo.fr"
Comment contacter le service client ?,Envisagez vous de diffuser les téléfilms inédits de matula sur France tv? Cordialement mcgasteix@gmail.com
Mon compte france.tv,Pourquoi est-ce que je ne peux plus me connecter à votre site ?
Comment contacter un animateur ?,"Bonjour, j'aimerais demander notre astrolove"" à André Manoukian mais je ne trouve pas l'adresse mail où envoyer les prénoms et dates ...."""
Comment activer les sous-titres ?,"Bonjour, impossible d'activer la série the bay en VO on ne le propose même pas"
Comment proposer un sujet ?,proposer un scénario à France TV
Comment proposer un sujet ?,Je deésire émettre un avis sur une émission. Dois je passer par le formulaire de contact ?
Mon compte france.tv,Qu'advient-il de mon compte si je ne modifie pas le mot de passe.
Replay,"ni l'un ni l'autre je parle de visualiser vos programmes en Replay sur l'ordinateur, sans sous-titres"
Replay,je souhaiterias regarder le film christophe et je ne trouve pas le lien pouvez vous m'aider ?
Comment proposer un sujet ?,sujets sur un maire banquier credit agricole faux et usage de faux qui vole des papiers chez ses concitoiens avec et bien entouré géomètre notaires pour spolier les propriétaire nous avons pris un avocat conseiller par le sous préfet
Comment contacter un animateur ?,Téléphone de l'émission
S'abonner ou se désabonner à nos newsletters,bonjour je suis innondé d emails de votre part pourtant je me suis desinscrit
Thalassa,"Bonjour, j'ai un compte utilisateurs et je souhaite accéder au replay de l'émission Thalassa Balade irlandaise"" diffusée le 02.05.2021."""
Mon compte france.tv,je suis agée et c'est vraiment pas cool pourquoi avoir changer le replay
Mon compte france.tv,compte
Comment proposer un sujet ?,Je souhaite proposer un sujet sur ma galerie d'art en ligne www.mriart.com
Replay,Je recherche la saison 3 de cassandre qui s est effacée
S'abonner ou se désabonner à nos newsletters,"j'ai reçu ce matin un mail me confirmant mon abonnement à france.tv . sauf erreur de ma part, je n'ai jamais contracté un tel abonnement. Merci de me donner des explications"
J'aimerai poser une question autour du coronavirus,Où en est-on avec les chiens détecteurs de Covid ?
Replay,Je n'arrive pas à lire les vidéos ni le direct.
Comment contacter le service client ?,Bonjour ce dimanche soir nous constatons avec stupeur des passages du James Bond en anglais non traduits nous sommes très déçus quelle en ait la raison?
Mon compte france.tv,je n arrive pas a me conecter
J'habite à l'étranger,"Bonsoir, comment puis-je revoir les émissions Doc stupéfiant de fr5 sur votre site? Apparemment je ne peux pas y accéder car je me trouve en Suisse actuellement... pouvez-vous me dire comment faire? Merci d'avance."
Comment proposer un sujet ?,comment se plaindre d'anais baidemir qui cache continuellement la météo de la facade atlantique
Les directs,Depuis 1 mois il es impossible de regrder le programme EN DIRECT sur France TV. Ca coupe tout le temps....ce qui n'est pas le cas par exemple sur Arte
Replay,Pourquoi ma date de naissance n'est pas acceptée lors de mon inscription à France.tv ?
Replay,tronquée
Les directs,France 5
Mon compte france.tv,"bonjour , je viens de créer mon espace personnel mais même avec mon bon mot de passe et mon nom je n'arrive pas à accéder à votre site"
J'aimerai poser une question autour du coronavirus,"Bonjour, comment peut-on poser une question relative au COVID pour une réponse au JT ?"
Mon compte france.tv,impossible de se connecté????????
Replay,Pourquoi l'émission noplp avec Nagui du jeudi 7 mai à 19h15 n'est-elle pas disponible ? Par contre celle de 18h40 est en double
Replay,"Depuis le site France 2, vous pouvez télécharger des extraits vidéo de ces merveilleux concerts. J'aimerais savoir si j'ai votre consentement pour les publier sur Facebook."
Replay,"La série animée Code Lyoko"" sera t'elle disponible en téléchargement"
J'aimerai poser une question autour du coronavirus,"Bonjour, j ai un potager à 2kms de chez moi, avec des légumes d hivers. Est ce que je peux y rendre pour arroser et récolterez. Et qu elle case dois je cocher. Merci. Nathalie"
Replay,je voudrais regarder Léna rêve d'étoile
Mon compte france.tv,"inscription au compte permettant de regarder,par exemple l'épisode de ce soir de plus belle la vie"""
Replay,le replay ne fonctionne pas
Comment contacter le service client ?,avez vous une adresse mail pour une demande de partenariat
Mon compte france.tv,comment se déconnecter de France.tv ?
Comment proposer un sujet ?,"Bonjour, à qui et comment puis-je prendre contact afin de proposer de faire découvrir mon produit à travers une émission."
Replay,Après avoir suivi la quotidienne sur la 5 pdt la durée du confinement le direct n´a pas repris ... pq? Aucune information sur le fait que ce ne sont que des rediffusions ni que les tournages sont stoppés
J'aimerai poser une question autour du coronavirus,"Bonjour,Le centre de vaccination Garches à annulé nos rdv confirmés pour une 1e vaccination Covid 19, c'est scandaleux."
Comment proposer un sujet ?,Je suis retraité et prêt à aider un étudiant en difficulté comment je dois faire? Merci
S'abonner ou se désabonner à nos newsletters,je ne trouve pas l'endroit où cliquer pour m'abonner
Comment contacter le service client ?,Je suis témoins d'un événement puis je vois vendre la vidéo ?
Replay,je cherche une vidéo sur le squelette
Replay,Et aprsè les 7 jours ?
Mon compte france.tv,Je n'arrive ^pas à me connecter au site.....
Comment contacter le service client ?,"bonjour. je souhaiterais revoir la série planete sans pareil"""
Replay,Bonjour Tout ce que je regarde sur le site de france tv est systématiquement désynchronisé. Sauriez-vous pourquoi?
Replay,problème avec les vidéos
S'abonner ou se désabonner à nos newsletters,désabonnement information
Comment contacter un animateur ?,j'aimerai pouvoir laisser un message à Nagui
Replay,je ne peux plus regarder la saison 6 de chérif à partir de l'épisode _ cat il est indiqué erreur 4103
Comment proposer un sujet ?,Un projet de 46 éoliennes géantes se profile sur la station balnéaire de Malo a Bray Dunes dans le Nord. Des engins de 300m de haut a seulement 10 Km de la côte.
Mon compte france.tv,je voudrais changer l'adresse mail de la newsmetter
Comment proposer un sujet ?,"pourquoi aucune actualité sur la NOUVELLE CALEDONIE alors qu'il y a des usines qui brulent, des émeutes et même un nouveau gourvernement ?"
S'abonner ou se désabonner à nos newsletters,Pouvez vous cesser d'ouvrir des fenetres pour se connecter. Je suis actuellement inscrite à votre newsletter mais si vous continuez ce harcelement visuel . Il faut cliquer 2 fois pour que la fenetre disparaisse et des qu'on ouvre un autre o
Replay,Pourquoi DCI Banks n'est pas accessible en streaming
Quel est le programme TV ?,le programme que je ne peux plus voir est Le Postillon de Longjumeau
S'abonner ou se désabonner à nos newsletters,je reçois trop d'informations
Mon compte france.tv,IMPOSSIBLE DE ME CONNECTER SUR FRANCE 2
Comment proposer un sujet ?,PROPOSITION DE SUJET  PROPOSITION DE SUJETPROPOSITION DE SUJET
Mon compte france.tv,Ca me dit que mon adresse n'est pas valide alors que j'ai créé mon. Compte avec celle
J'habite à l'étranger,"Bonjour, pourquoi je ne peux pas voir Secrets d'Histoire en Italie?"
S'abonner ou se désabonner à nos newsletters,Je veux que vous arrêter de me envoyé de mail
Mon compte france.tv,"Bonjour, je n'arrve pas à réinitialiser mon mot de passe à partir du courriel envoyé sur mon Gmail."
J'aimerai poser une question autour du coronavirus,"Bonjour, je suis fonctionnaire territorial et personne à risque covid19. Ma collectivité me demande de revenir en présentiel à partir 13 juillet c'est dire au delà de la fin de l'etat d'urgence sanitaire. Je ne comprends pas"
Replay,J ai écran noir alors que je viens de me mettre sur France 3
Comment proposer un sujet ?,je voudrais proposer un sujet !
Comment contacter le service client ?,qui creer les jingles de france tv
Comment contacter le service client ?,COMMENT FAIRE A qui s'adresser
S'abonner ou se désabonner à nos newsletters,merci de me desabonner de votre site je suis inondee de mails que je ne lis jamais
Comment activer les sous-titres ?,Sous titres
Comment proposer un sujet ?,"Bonjour, une petite question : pourquoi ne pas diffuser l'émission Thalassa les vendredis soirs comme avant, la diffusion le dimanche ap.midi n'est pas approprié du tout et les vendredis on passait une très bonne soirée avec cette émission."
J'aimerai poser une question autour du coronavirus,comment soigner un pecher de vigne contre la cloque et les pucerons en dehors de la bouillie bordelaise
Mon compte france.tv,enlever connection automatique à francetv
Mon compte france.tv,j'ai deja changé mon mot de pass et ca ne marche pas
J'aimerai poser une question autour du coronavirus,"votre expert a dit que l'anaphylaxie est une CI au vaccin, c'est faux, c'est uniquement les réactions graves aux vaccin ou médicament injectable contenat des PEG ( 1/100000 habitants ) PrJocelyne JUST Vice présidente de la FFAL"
J'aimerai poser une question autour du coronavirus,Quelques mesures pour les seniors qui partent en dehors des vacances scolaires.?
Comment proposer un sujet ?,comment faire pour diffuser nos films chez vous svp?
Comment proposer un sujet ?,je voulais raconter mon histoire a la tele
Quel est le programme TV ?,programme tv
Mon compte france.tv,Pour regarder en direct ou en Replay les émissions de France TV
Mon compte france.tv,Quand je mets mon adresse mail on me dit qu'elle est pas
J'habite à l'étranger,votre site n'est pas fait pour l'inscription de l'étranger !
Replay,des replays de series
Comment contacter le service client ?,"Comment trouver la jeune tapissière Manon, présentée dans télématin ce jour ?"
Comment proposer un sujet ?,Je crois que vous n'avez pas compris ma question. Je souhaiterais savoir par quel biais notre site pourrait être présenté dans l'émission.
Comment contacter le service client ?,JE NE VEUX PAS DE REPLAY JE DEMANDE LE RESULTAT DE MA PARTICIPATION AU JEU PAR TEL
S'abonner ou se désabonner à nos newsletters,se désabonner : ne plus recevoir vos publications
Comment contacter le service client ?,je souhaitais montrer à mes élèves les vidéos culottés ...ce n'est plus possible ?
Comment proposer un sujet ?,Bonjour est-il possible de vous proposer un programme ?
S'abonner ou se désabonner à nos newsletters,Je ne suis pas abonnée ???.
J'habite à l'étranger,localisation hors france
Comment contacter le service client ?,Bonjour. Quand allez-vous mettre en ligne la saison 2 de la série District 31 ?
Replay,QUAND POURRA T ON VOIR EN REPLAY LES DERNIERES DIFFUSIONS SUR LA 2 DE LA SERIE LAETICIA
Replay,"Pourquoi il n'y a que des extraits de séries en replay. C'est nouveau, avant on pouvait voir d'anciennes saisons par exemple de Caïn"
Comment contacter le service client ?,Bonjour. Quel est le nom de l'association qui relie seniors et étudiants anglais pour parler français.
J'habite à l'étranger,"2 de la belgique, y a til des restrictions de vision des programmes france tv?"
Replay,"Comment revoir le film On connait la chanson "" ?"""
Replay,Je ne parle pas des Replay mais du direct Cérémonie des Molières...
Replay,impossible de lancer les vidéo soudain
Tour de France 2021,comment remporter la journée VIP
Thalassa,je cherche l'emission thalassa de 2005 sur la polynesie
Replay,J'ai un vieux poste TV ; cela n'est pas possible.
Comment proposer un sujet ?,je vous contacte pour un sujet personnel
J'aimerai poser une question autour du coronavirus,"juste pour savoir pour partir dans le sud de l'espagne 15 jours disposant dune maison familial la semaine prochaine que faire?"""
Mon compte france.tv,"je veux modifier mon mot de passe, je l'ai oublié"
Comment contacter le service client ?,"bonour, pourquoi les 2 episodes d hier soir les ondes et les murs du souvenir ont ils été inversés à la diffusion ?"
Mon compte france.tv,supprimer les news qtotidiennes
Replay,je ne demande pas le replay mais pourquoi ne pas avois programmé les épisodes 4 5 et 6 saison 4 dci banks
S'abonner ou se désabonner à nos newsletters,"Si je me désabonne, suis-je sûre de pouvoir me réinscrire ?"
Tour de France 2021,🚴‍♀‍ Tour de France 2021
J'aimerai poser une question autour du coronavirus,Quel est l'impact environnemental d'un vaccin qu'il faut conserver à -70 degré ?
J'aimerai poser une question autour du coronavirus,amende
Comment contacter un animateur ?,"bonjour, est il possible d'écrire à Nagui ou à son équipe"
J'aimerai poser une question autour du coronavirus,"Je voudrais partir 4 jours à Barcelone du 13 au16mai. Est il possible, merci"
J'aimerai poser une question autour du coronavirus,Pourquoi ne pas ouvrir les commerces essentiels plus tôt ?
J'aimerai poser une question autour du coronavirus,Pourquoi on ne parle pas des décès liés au vaccin ?
Mon compte france.tv,Comment s'inscrire et est-ce gratuit ?
Comment contacter un animateur ?,"Bonjour, je suis un étudiant faisant un dossier sur le glyphosate, et j'aimerais contacter des personalités qui ont des positions tranchées comme Elise Lucet"
Quel est le programme TV ?,Quelle est le programme des mystérieuses cités d'or?
Replay,je suogaite voir les épisodes 5 et 6 de romance
Mon compte france.tv,Connexion Impossible sûr Smart tv
Comment proposer un sujet ?,"bjr, je souhaiterais envoyer un courriel pour protester contre la disparition de Riding Zone"
Mon compte france.tv,bonsoir comment supprimer cet abonnement
Quel est le programme TV ?,Il y a une erreur sur le programme
Mon compte france.tv,mettre un nouveau mot de passe car oublie pour reactiver l'acces
Les directs,je cherche le direct
Comment contacter le service client ?,"Afin de contacté,par mail la chaine France Info tv (Canal 27 TNT),est ce que France Info tv,a une adresse e-mail ?"
Comment contacter le service client ?,Bonjour j'aimerais savoir quelle est la musique que l'on entend lors de la bande annonce de Grandchester sur Fr3 impossible de trouver le groupe et le titre merci par avance
Mon compte france.tv,Pourquoi mon renouvellement d'inscription est pas pris en compte
J'aimerai poser une question autour du coronavirus,je suis un traitemùent immunosupresseur(insufisance renales)puis je me faire vacciner?
Mon compte france.tv,Il est plus plus facile de s'abonner et de récupérer des données personnelles que de se désabonner... ! A améliorer.
J'aimerai poser une question autour du coronavirus,J'ai posé une question ce matin concernant l'éducation nationale pour la peudo reprise?
Replay,"Bonso ndir. Je voulais regarder le replay de l'émission nous nous sommes tant aimer"" car il était indiqué Bernard Giraudeau hier et aujourd'hui à 15h30.or"
Mon compte france.tv,login obligatoire
Replay,"tout le replay,"
Comment contacter un animateur ?,"Bonjour , je viens de voir telematin ce 26/11 j'aimerai bien savoir où trouver le pull de Laura tenoudji... merci"
Replay,pourquoi erreur 5000
Replay,pourquoi murdoch de dimanche 27 09 n'est pas en replay sur la fibre
Mon compte france.tv,comment se connecter sur le site
Quel est le programme TV ?,thèmes des programmes TV
Replay,"bonjour, je voudrais savoir pourquoi on a droit à des pages de pub dans les replay alors qu'il n'y en a pas en direct"
J'aimerai poser une question autour du coronavirus,Pour voyager en voiture combien de personnes autorisées de foyers différents
J'habite à l'étranger,"bonjour, comment je peux revoir des emissions proposer sur ce site en belgique? merci"
J'aimerai poser une question autour du coronavirus,"passe-santé ilnous est donné après la 2e injection, pourquoi un autre ?"
Les directs,je veux voir l'emission sur l'inceste sur france 5 ce soir
Quel est le programme TV ?,je ne retrouve pas le programme de ce soir. J'ai cru qu'il était programmé du clasique
Replay,"bonjour, sur france tv c'est impossible de regarder en direct et en replay . L'image est stoppée toutes les 5 secondes et en suspend aussi longtemps"
Comment contacter un animateur ?,"Vous souhaitez écrire à un animateur, merci de vous rendre sur notre page contact pour formuler votre demande. Nous lui ferons suivre votre message."
Replay,J'aimerai acheter cette serie en blu ray
Replay,j'aurais voulu regarder en replay l'emission echappees belles week end albâtre que j'ai rate . j'ai essaye le site replay de Fr5 et autres mais sans succes .est ce possible et comment ?
Comment contacter un animateur ?,je ne vois pas comment s'adresser directement à un journaliste à propos d'une émission?
Quel est le programme TV ?,Quand sera diffusée la série LE CODE. Merci
J'habite à l'étranger,Oui mais si je suis domiciliée en suisse ?
Mon compte france.tv,"J'ai fait toutes les manipulations a faire et je n'arrive toujours pas a me connecter a france.tv, pouvez vous m'aider ?"
Comment proposer un sujet ?,"Bonjour,\nJ'aurais voulu contacter le service des documentaires à propos d'un projet de documentaire ?\nCordialement"
Comment contacter un animateur ?,"bonsoir, comment envoyer commentaire à faustine bollaert ?"
Quel est le programme TV ?,Programme du 1° novemebre
Comment contacter le service client ?,Je souhaite revoir une ancienne émission parue sur France 5
Mon compte france.tv,Je voudrais savoir pour qu'elle raison je ne peux plus regarde un feuilleton .il y a marqué (un si grand soleil) (avant première)
Replay,Bonsoir je n’arrive plus à visionner les émissions sur mon IPad. Merci
J'aimerai poser une question autour du coronavirus,Je souhaite rejoindre ma compagne le 14 mai par tgv direct de Rennes à Avignon. On ne s'est pas vu depuis le début du confinement. Quelle doit être ma démarche ?
Mon compte france.tv,je n'arrive pas à téinitialiser mon mot de passe
Mon compte france.tv,"Bonjour, je n'arrive pas à réinitialiser mon mot de passe. J'ai bien envoyé une demande, j'ai reçu le mail avec réinitialisation MDP mais ensuite je suis bloquée. Merci"
Replay,"cmment acceder aux replays pour recevoir les informations sur les ,differents départements,comme par le passé sur France O.Pourquoi ne pas nous les diffuser sur France 3 ?"
Replay,je me suis inscrite mais ils refusent ma date de naissance qui est pourtant valide
S'abonner ou se désabonner à nos newsletters,"Comment se désinscrire ?"""
J'aimerai poser une question autour du coronavirus,Bonjour  Une grosse grève va avoir lieu a la clinique Sully a livry-gargan afin de faire valoir nos droits( ide as Ash ect...) et exprimé nos revendications  Reconnaissance de tous et envers tous le corps du métier exposer au COVID  Prime gran
Mon compte france.tv,on me dit que ai déàj un compte et je n'arrive pas a obtenir france 5
J'aimerai poser une question autour du coronavirus,Pfizer
Replay,Videos gratuits ou payants?
Mon compte france.tv,ij'ai oublié mon mot de passe
Quel est le programme TV ?,Silence ça pousse est programmé quand et oùo
S'abonner ou se désabonner à nos newsletters,Je souhaite me désabonner de la newsletter
Comment proposer un sujet ?,comment faire une suggestion d'émission
J'habite à l'étranger,est il possible de regarder les videos depuis la Finlande?
Comment contacter le service client ?,Bonjour est il possible en passant par vos soins de transmettre un courrier à M. Stéphane Berne
Mon compte france.tv,je souhaite m'inscrire à la rubrique CHANGER
Replay,"Bonjour, dans un reportage de lmdm on parle d'un carnet d'adresses pour la prise en charge des toruvles de l'oralité sur le site de l'émission... je ne le trouve pas. Pouvez vous m'aider ?"
Mon compte france.tv,C'est scandaleux Par internet on n'a plus l'acces directe VOUS VOUS PRENEZ POUR TF!
Mon compte france.tv,bonjour j ai un compte France television mais j'ai oublié mon mot de passe
Mon compte france.tv,Pourquoi mon adresse mail est reconnue comme invalide??
S'abonner ou se désabonner à nos newsletters,je reçois beaucoup trop de mails de France info comment supprimer
Comment contacter le service client ?,Je veux envoyer un mail a france 2
Replay,"bonjour depuis deux jours, je n'arrive pas à obtenir les émissions, ca tourne mais rien n'apparit, c'est ainsi pour toutes les chaines"
Comment proposer un sujet ?,Peut-on parler d'autre chose que le coronavirus??\u003E?
Mon compte france.tv,je n'arrive pas à terminer l'inscription
Tour de France 2021,Etape 13 du tour de France
J'aimerai poser une question autour du coronavirus,maison de retraite
Comment proposer un sujet ?,"Bonjour,  Comment vous donner un avis par mail sur une émission ?"
Comment contacter le service client ?,E.mail France 2
Comment contacter le service client ?,nous avons besoin de joindre Jamy qui est victime d'un imposteur qui se fait passer pour lui
Quel est le programme TV ?,film ce soir
Mon compte france.tv,je n arrive pas à m inscrire sur France. TV. Ma date de naissance n est jamais validée.
Replay,sur ma tv impossible de lire une video france tv téléchargée
S'abonner ou se désabonner à nos newsletters,pourquoi malgré avoir coché la case désabonnement je continue à recevoir des tonnes de messages et d'infos qui ne m'intéressent pas du tout
Quel est le programme TV ?,je voudrais regarder cette emition sur la discesclic. je ne sais pas la date
Comment contacter le service client ?,service de presse
J'aimerai poser une question autour du coronavirus,"Bonsoir, je pose à nouveau ma questio. j'habite Antibes 06 et je souhaite rendre visite à ma mère 97 ans en ehpad à Lille 59. Elle est isolée et me réclame. Suis-je autorisé à voyager pendant ce confinement ? Gilbert"
S'abonner ou se désabonner à nos newsletters,"bjr, comment faire pour ne plus recevoir les alertes mail"
S'abonner ou se désabonner à nos newsletters,Je ne veux plus recevoir vos messages je ne suis plus inte
Comment contacter un animateur ?,je suis Florent Moureau délégué enquêteur pour la SPA de Lons dans le Jura. Je m'occupe du mouton tué dans le Jura à Champagnole. Une plainte a été déposée ce matin. Hugo Clément a mis une publication sur facebook. Est il possible d'entrer
Replay,La version VO ne fonctionne plus sur mq tablette
Comment proposer un sujet ?,"Je suis inventeur, j'ai une vidéo sur youtube"
Replay,"Le replay se met en marche pendant 2 secondes, debut du generique, puis interruption totale du son et par consequent du visionnement"
Mon compte france.tv,j arrive pas a m inscrire ou a me connecter
Comment proposer un sujet ?,"Bonjour, je voudrai envoyer un message de soutien à tous ces jeunes qui passent aujourd'hui dans votre émission"
Replay,"bonjour,j'aimerais savoir comment voir les épisodes de la série chemins de l'école"
S'abonner ou se désabonner à nos newsletters,je ne souhaite plus etre abonner a la neuwlester de france ie france info
Comment proposer un sujet ?,Pourquoi sans arrêt des applaudissements enregistrés? On sait bien qu'il n'y a pas de public Cessez de prendre les téléspectateurs pour des imbéciles
Quel est le programme TV ?,Où trouver programme de
Replay,JE NE LIS PAS LES VIDEOS ERREUR 5000
Mon compte france.tv,Comment s'inscrire
Replay,probleme tedcnique
S'abonner ou se désabonner à nos newsletters,comment resilier l abonnement france.tv?
Replay,depuis 2 jours impossible de charger aucune vidéo. Pourquoi ?
Replay,"Ce n'est pas un problème à la lecture des visdéo, je n'arrive pas à me connecter au site."
Comment proposer un sujet ?,"Je souhaiterais manifester mon bonheur en regardant Allo Docteur, le magazine de la santé depuis que le présentateur Jean-Marc aux côtés de Marina est arrivé. Toujours le sourire, toujours un mot pour détendre. Surtout ne changez plus car c"
Comment contacter un animateur ?,ecrire au département information
S'abonner ou se désabonner à nos newsletters,je ne recoit plus mes newsletters france info
Comment contacter le service client ?,Je veux téléphoner à la rédaction jt France 2
Comment contacter un animateur ?,comment je peux joindre un journaliste
Replay,impossoble de lire vidéo 9 et 15 juin erreur 2013
S'abonner ou se désabonner à nos newsletters,je n'rrive pas a me désabonné
Comment proposer un sujet ?,proposer un sujet au journal
Comment installer Chromecast ?,téléphone à un écran
Replay,"depuis lundi après-midi, je ne parviens plus à lire les vidéos sur le sIte de France Tv"
J'aimerai poser une question autour du coronavirus,j ai une myastenie je porrait etre vacsine merci
